Text,Language
"['nature', 'in', 'the', 'broadest', 'sense', 'is', 'the', 'natural', 'physical', 'material', 'world', 'or', 'universe']",English
"['nature', 'can', 'refer', 'to', 'the', 'phenomena', 'of', 'the', 'physical', 'world', 'and', 'also', 'to', 'life', 'in', 'general']",English
"['the', 'study', 'of', 'nature', 'is', 'a', 'large', 'if', 'not', 'the', 'only', 'part', 'of', 'science']",English
"['although', 'humans', 'are', 'part', 'of', 'nature', 'human', 'activity', 'is', 'often', 'understood', 'as', 'a', 'separate', 'category', 'from', 'other', 'natural', 'phenomena']",English
"['the', 'word', 'nature', 'is', 'borrowed', 'from', 'the', 'old', 'french', 'nature', 'and', 'is', 'derived', 'from', 'the', 'latin', 'word', 'natura', 'or', 'essential', 'qualities', 'innate', 'disposition', 'and', 'in', 'ancient', 'times', 'literally', 'meant', 'birth']",English
"['in', 'ancient', 'philosophy', 'natura', 'is', 'mostly', 'used', 'as', 'the', 'latin', 'translation', 'of', 'the', 'greek', 'word', 'physis', 'which', 'originally', 'related', 'to', 'the', 'intrinsic', 'characteristics', 'that', 'plants', 'animals', 'and', 'other', 'features', 'of', 'the', 'world', 'develop', 'of', 'their', 'own', 'accord']",English
"['the', 'concept', 'of', 'nature', 'as', 'a', 'whole', 'the', 'physical', 'universe', 'is', 'one', 'of', 'several', 'expansions', 'of', 'the', 'original', 'notion', 'it', 'began', 'with', 'certain', 'core', 'applications', 'of', 'the', 'word', 'by', 'presocratic', 'philosophers', 'though', 'this', 'word', 'had', 'a', 'dynamic', 'dimension', 'then', 'especially', 'for', 'heraclitus', 'and', 'has', 'steadily', 'gained', 'currency', 'ever', 'since']",English
"['during', 'the', 'advent', 'of', 'modern', 'scientific', 'method', 'in', 'the', 'last', 'several', 'centuries', 'nature', 'became', 'the', 'passive', 'reality', 'organized', 'and', 'moved', 'by', 'divine', 'laws']",English
"['with', 'the', 'industrial', 'revolution', 'nature', 'increasingly', 'became', 'seen', 'as', 'the', 'part', 'of', 'reality', 'deprived', 'from', 'intentional', 'intervention', 'it', 'was', 'hence', 'considered', 'as', 'sacred', 'by', 'some', 'traditions', 'rousseau', 'american', 'transcendentalism', 'or', 'a', 'mere', 'decorum', 'for', 'divine', 'providence', 'or', 'human', 'history', 'hegel', 'marx']",English
"['however', 'a', 'vitalist', 'vision', 'of', 'nature', 'closer', 'to', 'the', 'presocratic', 'one', 'got', 'reborn', 'at', 'the', 'same', 'time', 'especially', 'after', 'charles', 'darwin']",English
"['within', 'the', 'various', 'uses', 'of', 'the', 'word', 'today', 'nature', 'often', 'refers', 'to', 'geology', 'and', 'wildlife']",English
